"","external_gene_name","chromosome_name","description"
"77","ADIPOR2","HG1815_PATCH","adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]"
"78","CACNA2D4","HG1815_PATCH","calcium voltage-gated channel auxiliary subunit alpha2delta 4 [Source:HGNC Symbol;Acc:HGNC:20202]"
"79","LRTM2","HG1815_PATCH","leucine rich repeats and transmembrane domains 2 [Source:HGNC Symbol;Acc:HGNC:32443]"
"80","DCP1B","HG1815_PATCH","decapping mRNA 1B [Source:HGNC Symbol;Acc:HGNC:24451]"
"81","HSFY1","Y","heat shock transcription factor Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:18568]"
"82","TGIF2LY","Y","TGFB induced factor homeobox 2 like Y-linked [Source:HGNC Symbol;Acc:HGNC:18569]"
"83","RBMY1F","Y","RNA binding motif protein Y-linked family 1 member F [Source:HGNC Symbol;Acc:HGNC:23974]"
"84","CACNA1C","HG1815_PATCH","calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390]"
"85","CDY2A","Y","chromodomain Y-linked 2A [Source:HGNC Symbol;Acc:HGNC:1810]"
"86","BPY2C","Y","basic charge Y-linked 2C [Source:HGNC Symbol;Acc:HGNC:18225]"
"87","DAZ4","Y","deleted in azoospermia 4 [Source:HGNC Symbol;Acc:HGNC:15966]"
"88","CDY2B","Y","chromodomain Y-linked 2B [Source:HGNC Symbol;Acc:HGNC:23921]"
"89","SRY","Y","sex determining region Y [Source:HGNC Symbol;Acc:HGNC:11311]"
"90","RPS4Y1","Y","ribosomal protein S4 Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:10425]"
"91","ZFY","Y","zinc finger protein Y-linked [Source:HGNC Symbol;Acc:HGNC:12870]"
"92","DDX3Y","Y","DEAD-box helicase 3 Y-linked [Source:HGNC Symbol;Acc:HGNC:2699]"
"93","SERTAD4","HG1832_PATCH","SERTA domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25236]"
"94","HHAT","HG1832_PATCH","hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]"
"95","UTY","Y","ubiquitously transcribed tetratricopeptide repeat containing, Y-linked [Source:HGNC Symbol;Acc:HGNC:12638]"
"96","TMSB4Y","Y","thymosin beta 4 Y-linked [Source:HGNC Symbol;Acc:HGNC:11882]"
"97","VCY","Y","variable charge Y-linked [Source:HGNC Symbol;Acc:HGNC:12668]"
"98","DAZ3","Y","deleted in azoospermia 3 [Source:HGNC Symbol;Acc:HGNC:15965]"
"99","DAZ1","Y","deleted in azoospermia 1 [Source:HGNC Symbol;Acc:HGNC:2682]"
"100","CARMIL3","HG1_PATCH","capping protein regulator and myosin 1 linker 3 [Source:HGNC Symbol;Acc:HGNC:20272]"
"101","AMELY","Y","amelogenin Y-linked [Source:HGNC Symbol;Acc:HGNC:462]"
"102","CPNE6","HG1_PATCH","copine 6 [Source:HGNC Symbol;Acc:HGNC:2319]"
"103","TBL1Y","Y","transducin beta like 1 Y-linked [Source:HGNC Symbol;Acc:HGNC:18502]"
"104","NRL","HG1_PATCH","neural retina leucine zipper [Source:HGNC Symbol;Acc:HGNC:8002]"
"105","PCK2","HG1_PATCH","phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]"
"106","DCAF11","HG1_PATCH","DDB1 and CUL4 associated factor 11 [Source:HGNC Symbol;Acc:HGNC:20258]"
"107","DAZ2","Y","deleted in azoospermia 2 [Source:HGNC Symbol;Acc:HGNC:15964]"
"108","","HG1_PATCH","novel protein"
"109","FITM1","HG1_PATCH","fat storage inducing transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:33714]"
"110","PSME1","HG1_PATCH","proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]"
"111","EMC9","HG1_PATCH","ER membrane protein complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:20273]"
"112","PSME2","HG1_PATCH","proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]"
"113","RNF31","HG1_PATCH","ring finger protein 31 [Source:HGNC Symbol;Acc:HGNC:16031]"
"114","","HG1_PATCH","novel transcript"
"115","TSPY2","Y","testis specific protein Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:23924]"
"116","IRF9","HG1_PATCH","interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]"
"117","REC8","HG1_PATCH","REC8 meiotic recombination protein [Source:HGNC Symbol;Acc:HGNC:16879]"
"118","RBMY1E","Y","RNA binding motif protein Y-linked family 1 member E [Source:HGNC Symbol;Acc:HGNC:23916]"
"119","IPO4","HG1_PATCH","importin 4 [Source:HGNC Symbol;Acc:HGNC:19426]"
"120","TM9SF1","HG1_PATCH","transmembrane 9 superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:11864]"
"121","NLGN4Y","Y","neuroligin 4 Y-linked [Source:HGNC Symbol;Acc:HGNC:15529]"
"122","TSSK4","HG1_PATCH","testis specific serine kinase 4 [Source:HGNC Symbol;Acc:HGNC:19825]"
"123","CHMP4A","HG1_PATCH","charged multivesicular body protein 4A [Source:HGNC Symbol;Acc:HGNC:20274]"
"124","MDP1","HG1_PATCH","magnesium dependent phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:28781]"
"125","NEDD8-MDP1","HG1_PATCH","NEDD8-MDP1 readthrough [Source:HGNC Symbol;Acc:HGNC:39551]"
"126","NEDD8","HG1_PATCH","NEDD8 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:7732]"
"127","GMPR2","HG1_PATCH","guanosine monophosphate reductase 2 [Source:HGNC Symbol;Acc:HGNC:4377]"
"128","VCY1B","Y","variable charge Y-linked 1B [Source:HGNC Symbol;Acc:HGNC:31751]"
"129","TINF2","HG1_PATCH","TERF1 interacting nuclear factor 2 [Source:HGNC Symbol;Acc:HGNC:11824]"
"130","RPS4Y2","Y","ribosomal protein S4 Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:18501]"
"131","TGM1","HG1_PATCH","transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]"
"132","RABGGTA","HG1_PATCH","Rab geranylgeranyltransferase subunit alpha [Source:HGNC Symbol;Acc:HGNC:9795]"
"133","DHRS1","HG1_PATCH","dehydrogenase/reductase 1 [Source:HGNC Symbol;Acc:HGNC:16445]"
"134","PCDH11Y","Y","protocadherin 11 Y-linked [Source:HGNC Symbol;Acc:HGNC:15813]"
"135","NOP9","HG1_PATCH","NOP9 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:19826]"
"136","CIDEB","HG1_PATCH","cell death inducing DFFA like effector b [Source:HGNC Symbol;Acc:HGNC:1977]"
"137","LTB4R2","HG1_PATCH","leukotriene B4 receptor 2 [Source:HGNC Symbol;Acc:HGNC:19260]"
"138","LTB4R","HG1_PATCH","leukotriene B4 receptor [Source:HGNC Symbol;Acc:HGNC:6713]"
"139","ADCY4","HG1_PATCH","adenylate cyclase 4 [Source:HGNC Symbol;Acc:HGNC:235]"
"140","CDY1B","Y","chromodomain Y-linked 1B [Source:HGNC Symbol;Acc:HGNC:23920]"
"141","RIPK3","HG1_PATCH","receptor interacting serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:10021]"
"142","BPY2B","Y","basic charge Y-linked 2B [Source:HGNC Symbol;Acc:HGNC:25449]"
"143","NFATC4","HG1_PATCH","nuclear factor of activated T cells 4 [Source:HGNC Symbol;Acc:HGNC:7778]"
"144","DHRS4","HG1_PATCH","dehydrogenase/reductase 4 [Source:HGNC Symbol;Acc:HGNC:16985]"
"145","DHRS4L2","HG1_PATCH","dehydrogenase/reductase 4 like 2 [Source:NCBI gene (formerly Entrezgene);Acc:317749]"
"146","CDY1","Y","chromodomain Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:1809]"
"147","RBMY1J","Y","RNA binding motif protein Y-linked family 1 member J [Source:HGNC Symbol;Acc:HGNC:23917]"
"148","TSPY9","Y","testis specific protein Y-linked 9 [Source:HGNC Symbol;Acc:HGNC:37472]"
"149","RBMY1B","Y","RNA binding motif protein Y-linked family 1 member B [Source:HGNC Symbol;Acc:HGNC:23914]"
"150","RBMY1A1","Y","RNA binding motif protein Y-linked family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:9912]"
"151","H3-4","HG2002_PATCH","H3.4 histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4778]"
"152","H2AC25","HG2002_PATCH","H2A clustered histone 25 [Source:HGNC Symbol;Acc:HGNC:20507]"
"153","H2BC26","HG2002_PATCH","H2B clustered histone 26 [Source:HGNC Symbol;Acc:HGNC:20514]"
"154","RNF187","HG2002_PATCH","ring finger protein 187 [Source:HGNC Symbol;Acc:HGNC:27146]"
"155","RHOU","HG2002_PATCH","ras homolog family member U [Source:HGNC Symbol;Acc:HGNC:17794]"
"156","TSPY4","Y","testis specific protein Y-linked 4 [Source:HGNC Symbol;Acc:HGNC:37287]"
"157","LEUTX","HG2021_PATCH","leucine twenty homeobox [Source:HGNC Symbol;Acc:HGNC:31953]"
"158","DYRK1B","HG2021_PATCH","dual specificity tyrosine phosphorylation regulated kinase 1B [Source:HGNC Symbol;Acc:HGNC:3092]"
"159","FBL","HG2021_PATCH","fibrillarin [Source:HGNC Symbol;Acc:HGNC:3599]"
"160","PSMC4","HG2021_PATCH","proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]"
"161","TSPY8","Y","testis specific protein Y-linked 8 [Source:HGNC Symbol;Acc:HGNC:37471]"
"162","ZNF546","HG2021_PATCH","zinc finger protein 546 [Source:HGNC Symbol;Acc:HGNC:28671]"
"163","TSPY3","Y","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]"
"164","ZNF780B","HG2021_PATCH","zinc finger protein 780B [Source:HGNC Symbol;Acc:HGNC:33109]"
"165","ZNF780A","HG2021_PATCH","zinc finger protein 780A [Source:HGNC Symbol;Acc:HGNC:27603]"
"166","FCGBP","HG2021_PATCH","Fc gamma binding protein [Source:HGNC Symbol;Acc:HGNC:13572]"
"167","PPP2R3B","Y","protein phosphatase 2 regulatory subunit B''beta [Source:HGNC Symbol;Acc:HGNC:13417]"
"168","IL3RA","Y","interleukin 3 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6012]"
"169","P2RY8","Y","P2Y receptor family member 8 [Source:HGNC Symbol;Acc:HGNC:15524]"
"170","SLC25A6","Y","solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992]"
"171","ASMT","Y","acetylserotonin O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:750]"
"172","DHRSX","Y","dehydrogenase/reductase X-linked [Source:HGNC Symbol;Acc:HGNC:18399]"
"173","ASMTL","Y","acetylserotonin O-methyltransferase like [Source:HGNC Symbol;Acc:HGNC:751]"
"174","AKAP17A","Y","A-kinase anchoring protein 17A [Source:HGNC Symbol;Acc:HGNC:18783]"
"175","PLCXD1","Y","phosphatidylinositol specific phospholipase C X domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23148]"
"176","ZBED1","Y","zinc finger BED-type containing 1 [Source:HGNC Symbol;Acc:HGNC:447]"
"177","CD99","Y","CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]"
"178","SHOX","Y","short stature homeobox [Source:HGNC Symbol;Acc:HGNC:10853]"
"179","CSF2RA","Y","colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]"
"180","GTPBP6","Y","GTP binding protein 6 (putative) [Source:HGNC Symbol;Acc:HGNC:30189]"
"181","CRLF2","Y","cytokine receptor like factor 2 [Source:HGNC Symbol;Acc:HGNC:14281]"
"182","VAMP7","Y","vesicle associated membrane protein 7 [Source:HGNC Symbol;Acc:HGNC:11486]"
"183","WASH6P","Y","WASP family homolog 6, pseudogene [Source:HGNC Symbol;Acc:HGNC:31685]"
"184","IL9R","Y","interleukin 9 receptor [Source:HGNC Symbol;Acc:HGNC:6030]"
"185","FRG2","HG2023_PATCH","FSHD region gene 2 [Source:HGNC Symbol;Acc:HGNC:19136]"
"186","FRG1","HG2023_PATCH","FSHD region gene 1 [Source:HGNC Symbol;Acc:HGNC:3954]"
"187","","HG2023_PATCH",""
"188","DUX4L8","HG2023_PATCH","double homeobox 4 like 8 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:38670]"
"189","DUX4","HG2023_PATCH","double homeobox 4 [Source:HGNC Symbol;Acc:HGNC:50800]"
"190","FAM20C","HG1309_PATCH","FAM20C golgi associated secretory pathway kinase [Source:HGNC Symbol;Acc:HGNC:22140]"
"191","","HG1309_PATCH",""
"192","GPR20","HG2031_PATCH","G protein-coupled receptor 20 [Source:HGNC Symbol;Acc:HGNC:4475]"
"193","PTP4A3","HG2031_PATCH","protein tyrosine phosphatase 4A3 [Source:HGNC Symbol;Acc:HGNC:9636]"
"194","C8orf90","HG2031_PATCH","chromosome 8 open reading frame 90 [Source:HGNC Symbol;Acc:HGNC:56305]"
"195","MROH5","HG2031_PATCH","maestro heat like repeat family member 5 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:42976]"
"196","SHANK3","HG1311_HG2539_PATCH","SH3 and multiple ankyrin repeat domains 3 [Source:HGNC Symbol;Acc:HGNC:14294]"
"197","ACR","HG1311_HG2539_PATCH","acrosin [Source:HGNC Symbol;Acc:HGNC:126]"
"198","GCGR","HG1320_PATCH","glucagon receptor [Source:HGNC Symbol;Acc:HGNC:4192]"
"199","MCRIP1","HG1320_PATCH","MAPK regulated corepressor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:28007]"
"200","PPP1R27","HG1320_PATCH","protein phosphatase 1 regulatory subunit 27 [Source:HGNC Symbol;Acc:HGNC:16813]"
"201","C6orf52","HG2057_PATCH","chromosome 6 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:20881]"
"202","PAK1IP1","HG2057_PATCH","PAK1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:20882]"
"203","TMEM14C","HG2057_PATCH","transmembrane protein 14C [Source:HGNC Symbol;Acc:HGNC:20952]"
"204","GCNT2","HG2057_PATCH","glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]"
"205","ARHGEF19","HG1343_HG173_HG459_PATCH","Rho guanine nucleotide exchange factor 19 [Source:HGNC Symbol;Acc:HGNC:26604]"
"206","CPLANE2","HG1343_HG173_HG459_PATCH","ciliogenesis and planar polarity effector complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:28127]"
"207","FBXO42","HG1343_HG173_HG459_PATCH","F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249]"
"208","SZRD1","HG1343_HG173_HG459_PATCH","SUZ RNA binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30232]"
"209","SPATA21","HG1343_HG173_HG459_PATCH","spermatogenesis associated 21 [Source:HGNC Symbol;Acc:HGNC:28026]"
"210","NECAP2","HG1343_HG173_HG459_PATCH","NECAP endocytosis associated 2 [Source:HGNC Symbol;Acc:HGNC:25528]"
"211","PADI2","HG1343_HG173_HG459_PATCH","peptidyl arginine deiminase 2 [Source:HGNC Symbol;Acc:HGNC:18341]"
"212","","HG1343_HG173_HG459_PATCH","neuroblastoma breakpoint family, member 1"
"213","","HG1343_HG173_HG459_PATCH","Novel gene similar to neuroblastoma breakpoint family, member 1 (NBPF1)"
"214","NBPF1","HG1343_HG173_HG459_PATCH","NBPF member 1 [Source:HGNC Symbol;Acc:HGNC:26088]"
"215","BCL2L14","HG1362_PATCH","BCL2 like 14 [Source:HGNC Symbol;Acc:HGNC:16657]"
"216","LRP6","HG1362_PATCH","LDL receptor related protein 6 [Source:HGNC Symbol;Acc:HGNC:6698]"
"217","MANSC1","HG1362_PATCH","MANSC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25505]"
"218","BORCS5","HG1362_PATCH","BLOC-1 related complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:17950]"
"219","DUSP16","HG1362_PATCH","dual specificity phosphatase 16 [Source:HGNC Symbol;Acc:HGNC:17909]"
"220","ZKSCAN7","HG2066_PATCH","zinc finger with KRAB and SCAN domains 7 [Source:HGNC Symbol;Acc:HGNC:12955]"
"221","ZNF660","HG2066_PATCH","zinc finger protein 660 [Source:HGNC Symbol;Acc:HGNC:26720]"
"222","ZNF197","HG2066_PATCH","zinc finger protein 197 [Source:HGNC Symbol;Acc:HGNC:12988]"
"223","ZNF35","HG2066_PATCH","zinc finger protein 35 [Source:HGNC Symbol;Acc:HGNC:13099]"
"224","ZNF502","HG2066_PATCH","zinc finger protein 502 [Source:HGNC Symbol;Acc:HGNC:23718]"
"225","ZNF501","HG2066_PATCH","zinc finger protein 501 [Source:HGNC Symbol;Acc:HGNC:23717]"
"226","KIAA1143","HG2066_PATCH","KIAA1143 [Source:HGNC Symbol;Acc:HGNC:29198]"
"227","KIF15","HG2066_PATCH","kinesin family member 15 [Source:HGNC Symbol;Acc:HGNC:17273]"
"228","TMEM42","HG2066_PATCH","transmembrane protein 42 [Source:HGNC Symbol;Acc:HGNC:28444]"
"229","TGM4","HG2066_PATCH","transglutaminase 4 [Source:HGNC Symbol;Acc:HGNC:11780]"
"230","ZNF852","HG2066_PATCH","zinc finger protein 852 [Source:HGNC Symbol;Acc:HGNC:27713]"
"231","ACTG1","HG1369_PATCH","actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]"
"232","BAHCC1","HG1369_PATCH","BAH domain and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:29279]"
"233","ITGA9","HG2069_PATCH","integrin subunit alpha 9 [Source:HGNC Symbol;Acc:HGNC:6145]"
"234","","HG1395_PATCH","novel transcript"
"235","ECSCR","HG1395_PATCH","endothelial cell surface expressed chemotaxis and apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:35454]"
"236","SMIM33","HG1395_PATCH","small integral membrane protein 33 [Source:HGNC Symbol;Acc:HGNC:53645]"
"237","STING1","HG1395_PATCH","stimulator of interferon response cGAMP interactor 1 [Source:HGNC Symbol;Acc:HGNC:27962]"
"238","","HG2087_PATCH","novel protein"
"239","ELP5","HG2087_PATCH","elongator acetyltransferase complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:30617]"
"240","CLDN7","HG2087_PATCH","claudin 7 [Source:HGNC Symbol;Acc:HGNC:2049]"
"241","SLC2A4","HG2087_PATCH","solute carrier family 2 member 4 [Source:HGNC Symbol;Acc:HGNC:11009]"
"242","YBX2","HG2087_PATCH","Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]"
"243","EIF5A","HG2087_PATCH","eukaryotic translation initiation factor 5A [Source:HGNC Symbol;Acc:HGNC:3300]"
"244","GPS2","HG2087_PATCH","G protein pathway suppressor 2 [Source:HGNC Symbol;Acc:HGNC:4550]"
"245","NEURL4","HG2087_PATCH","neuralized E3 ubiquitin protein ligase 4 [Source:HGNC Symbol;Acc:HGNC:34410]"
"246","ACAP1","HG2087_PATCH","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1 [Source:HGNC Symbol;Acc:HGNC:16467]"
"247","KCTD11","HG2087_PATCH","potassium channel tetramerization domain containing 11 [Source:HGNC Symbol;Acc:HGNC:21302]"
"248","TMEM95","HG2087_PATCH","transmembrane protein 95 [Source:HGNC Symbol;Acc:HGNC:27898]"
"249","C1R","HG1398_PATCH","complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]"
